arc_length,p,U:0,U:1,velMag
6.4384,0.86317,-0.0022456,1.502,1.50200167866729
6.5069,0.85976,-0.0022142,1.481,1.48100165519207
6.5754,0.85635,-0.0021828,1.46,1.46000163171684
6.6439,0.85293,-0.0021514,1.439,1.43900160824162
6.7124,0.84952,-0.00212,1.418,1.41800158476639
6.7809,0.8461,-0.0020886,1.397,1.39700156129117
6.8493,0.84269,-0.0020572,1.376,1.37600153781594
6.9178,0.83928,-0.0020258,1.355,1.35500151434072
6.9863,0.83583,-0.0019837,1.3346,1.33460147424828
7.0548,0.83216,-0.0018775,1.3171,1.31710133816888
7.1233,0.8285,-0.0017714,1.2997,1.29970120714646
7.1918,0.82484,-0.0016652,1.2822,1.28220108130162
7.2603,0.82117,-0.0015591,1.2648,1.26480096093923
7.3288,0.81751,-0.001453,1.2473,1.24730084631135
7.3973,0.81385,-0.0013468,1.2298,1.22980073746532
7.4658,0.81019,-0.0012407,1.2124,1.21240063483012
7.5343,0.8064,-0.001157,1.1939,1.1939005606201
7.6028,0.80225,-0.0011361,1.1724,1.17240055046183
7.6713,0.7981,-0.0011153,1.1509,1.15090054040047
7.7398,0.79396,-0.0010945,1.1294,1.1294005303391
7.8083,0.78981,-0.0010736,1.1079,1.10790052018083
7.8767,0.78615,-0.0018953,1.0537,1.0537017045455
7.9452,0.78193,-0.0017499,1.037,1.03700147644543
8.0137,0.77771,-0.0016046,1.0203,1.02030126175613
8.0822,0.7735,-0.0014592,1.0037,1.00370106070714
8.1507,0.76928,-0.0013138,0.98699,0.986990874410924
8.2192,0.76506,-0.0011684,0.97032,0.970320703457656
8.2877,0.76084,-0.0010231,0.95366,0.953660548797952
8.3562,0.75663,-0.0008777,0.93699,0.936990411080759
8.4247,0.75241,-0.00073233,0.92032,0.920320291369928
8.4932,0.74819,-0.00058696,0.90366,0.903660190625902
8.5617,0.74397,-0.00044159,0.88699,0.886990109923289
8.6302,0.73976,-0.00029622,0.87033,0.870330050409779
8.6987,0.73554,-0.00015084,0.85366,0.853660013326562
8.7672,0.73054,-0.00012179,0.83247,0.832470008908912
8.8357,0.72536,-0.00011854,0.81029,0.810290008670804
8.9041,0.72019,-0.0001153,0.7881,0.788100008434266
8.9726,0.71502,-0.00011205,0.76592,0.765920008196158
9.0411,0.70985,-0.00010881,0.74373,0.74373000795962
9.1096,0.70467,-0.00010556,0.72154,0.721540007721619
9.1781,0.69913,-0.0035971,0.64549,0.645500022640131
9.2466,0.69401,-0.0030982,0.63094,0.630947606733903
9.3151,0.68889,-0.0025994,0.6164,0.616405480897404
9.3836,0.68377,-0.0021006,0.60185,0.601853665786261
9.4521,0.67865,-0.0016017,0.5873,0.587302184095113
9.5206,0.67353,-0.0011029,0.57276,0.572761061864727
9.5891,0.66841,-0.00060406,0.55821,0.558210326837908
9.6576,0.66328,-0.00010522,0.54368,0.543680010181769
9.7261,0.65816,0.00039361,0.52913,0.529130146399572
9.7946,0.65304,0.00089243,0.51458,0.514580773864808
9.8631,0.64792,0.0013913,0.50004,0.500041935557099
9.9316,0.64045,0.0013702,0.47747,0.477471966033651
10,0.63277,0.0013034,0.45422,0.454221870071841
10.069,0.62509,0.0012367,0.43095,0.430951774479338
10.137,0.61741,0.0011699,0.40769,0.4076916785587
10.206,0.60973,0.0011032,0.38442,0.384421582966201
10.274,0.60205,0.0010364,0.36115,0.361151487086735
10.343,0.59437,0.00096964,0.33789,0.337891391280881
10.411,0.58669,0.00090286,0.31462,0.31462129545881
10.479,0.57901,0.00083612,0.29136,0.29136119971035
10.548,0.57133,0.00076934,0.26809,0.268091103888278
10.616,0.56365,0.00070257,0.24483,0.244831008053729
10.685,0.55597,0.00063582,0.22157,0.221570912276572
10.753,0.54829,0.00056905,0.1983,0.198300816483197
10.822,0.54061,0.00050231,0.17504,0.175040720734737
10.89,0.53293,0.00043553,0.15177,0.151770624912665
10.959,0.52501,0.00079512,0.13365,0.133652365171045
11.027,0.51302,0.00085682,0.11195,0.11195327882877
11.096,0.49973,0.00066738,0.087196,0.087198553956269
11.164,0.48645,0.00047804,0.062458,0.062459829380504
11.233,0.47317,0.0002886,0.037707,0.037708104420138
11.301,0.45989,9.9167E-05,0.012957,0.012957379484058
11.37,0.44661,-9.0176E-05,-0.011782,0.01178234508538
11.438,0.43333,-0.00027961,-0.036532,0.036533070029113
11.507,0.42005,-0.00046895,-0.061271,0.06127279457559
11.575,0.40677,-0.00065839,-0.086021,0.086023519565245
11.644,0.39349,-0.00084783,-0.11077,0.110773244584191
11.712,0.38021,-0.0010372,-0.13551,0.135513969330988
11.781,0.36693,-0.0012266,-0.16026,0.160264694014496
11.849,0.35365,-0.0014159,-0.185,0.185005418225548
11.918,0.34037,-0.0016054,-0.20975,0.209756143674411
11.986,0.32709,-0.0017948,-0.2345,0.234506868357923
12.055,nan,nan,nan,#VALUE!
12.123,0.28521,-0.0062747,-0.3078,0.307863950244406
12.192,0.26048,-0.0068213,-0.33462,0.334689519605395
12.26,0.23575,-0.0073682,-0.36145,0.36152509300357
12.329,0.21102,-0.0079151,-0.38827,0.388350668478902
12.397,0.18629,-0.0084618,-0.41509,0.415176239878007
12.466,0.16156,-0.0090087,-0.44192,0.442011813276173
12.534,0.13683,-0.0095553,-0.46873,0.468827384714342
12.603,0.1121,-0.010102,-0.49556,0.495662954036309
12.671,0.087374,-0.010649,-0.52239,0.522498529472572
12.74,0.062645,-0.011196,-0.54921,0.549324106986031
12.808,0.037915,-0.011743,-0.57603,0.57614968449961
12.877,0.013186,-0.012289,-0.60285,0.60297524163186
12.945,-0.011543,-0.012836,-0.62968,0.62981081706811
13.014,nan,nan,nan,#VALUE!
13.082,nan,nan,nan,#VALUE!
13.151,nan,nan,nan,#VALUE!
13.219,nan,nan,nan,#VALUE!
13.288,-0.22027,-0.033102,-0.85127,0.851913349645373
13.356,-0.26835,-0.034264,-0.88117,0.881835920450058
13.425,-0.31642,-0.035426,-0.91105,0.911738506358046
13.493,-0.3645,-0.036589,-0.94095,0.94166111601839
13.562,-0.41257,-0.037751,-0.97083,0.971563701926436
13.63,-0.46064,-0.038913,-1.0007,1.00145629538637
13.699,-0.50872,-0.040075,-1.0306,1.03137886619079
13.767,-0.55679,-0.041238,-1.0605,1.06130147585123
13.836,-0.60486,-0.0424,-1.0904,1.09122404665586
13.904,-0.65294,-0.043562,-1.1203,1.12114661746089
13.973,nan,nan,nan,#VALUE!
14.041,nan,nan,nan,#VALUE!
14.11,nan,nan,nan,#VALUE!
14.178,nan,nan,nan,#VALUE!
14.247,nan,nan,nan,#VALUE!
14.315,-1.1925,-0.098853,-1.4883,1.49157929913532
14.384,-1.2826,-0.10113,-1.5226,1.52595479516924
14.452,-1.3726,-0.1034,-1.5568,1.56023004714049
14.521,-1.4626,-0.10567,-1.591,1.59450529911318
